SenderNodeId,SenderNodeName,DestinatioNodeId,DestinationNodeName,StarTime,EndTime,Duration,TaskId,TaskName,BytesSent
0,DisplayNode,-1,,3.90024784,3.90037168,0.00012384,3,CaptureImage3,1548
0,DisplayNode,-1,,3.900124,3.90024784,0.00012384,2,CaptureImage2,1548
0,DisplayNode,-1,,3.90000016,3.900124,0.00012384,1,CaptureImage1,1548
0,DisplayNode,-1,,2.90024784,2.90037168,0.00012384,3,CaptureImage3,1548
0,DisplayNode,-1,,2.900124,2.90024784,0.00012384,2,CaptureImage2,1548
0,DisplayNode,-1,,2.90000016,2.900124,0.00012384,1,CaptureImage1,1548
0,DisplayNode,-1,,1.90024784,1.90037168,0.00012384,3,CaptureImage3,1548
0,DisplayNode,-1,,1.900124,1.90024784,0.00012384,2,CaptureImage2,1548
0,DisplayNode,-1,,1.90000016,1.900124,0.00012384,1,CaptureImage1,1548
0,DisplayNode,-1,,0.90024784,0.90037168,0.00012384,3,CaptureImage3,1548
0,DisplayNode,-1,,0.900124,0.90024784,0.00012384,2,CaptureImage2,1548
0,DisplayNode,-1,,0.90000016,0.900124,0.00012384,1,CaptureImage1,1548
1,CameraNode1,0,DisplayNode,3.90000008,3.90012392,0.00012384,1,CaptureImage1,1548
1,CameraNode1,0,DisplayNode,2.90000008,2.90012392,0.00012384,1,CaptureImage1,1548
1,CameraNode1,0,DisplayNode,1.90000008,1.90012392,0.00012384,1,CaptureImage1,1548
1,CameraNode1,0,DisplayNode,0.90000008,0.90012392,0.00012384,1,CaptureImage1,1548
2,CameraNode2,0,DisplayNode,3.900124,3.90016592,4.192e-005,2,CaptureImage2,524
2,CameraNode2,0,DisplayNode,3.90000008,3.900082,8.192e-005,2,CaptureImage2,1024
2,CameraNode2,0,DisplayNode,2.900124,2.90016592,4.192e-005,2,CaptureImage2,524
2,CameraNode2,0,DisplayNode,2.90000008,2.900082,8.192e-005,2,CaptureImage2,1024
2,CameraNode2,0,DisplayNode,1.900124,1.90016592,4.192e-005,2,CaptureImage2,524
2,CameraNode2,0,DisplayNode,1.90000008,1.900082,8.192e-005,2,CaptureImage2,1024
2,CameraNode2,0,DisplayNode,0.900124,0.90016592,4.192e-005,2,CaptureImage2,524
2,CameraNode2,0,DisplayNode,0.90000008,0.900082,8.192e-005,2,CaptureImage2,1024
3,CameraNode3,0,DisplayNode,3.90024784,3.90028976,4.192e-005,3,CaptureImage3,524
3,CameraNode3,0,DisplayNode,3.90000008,3.900082,8.192e-005,3,CaptureImage3,1024
3,CameraNode3,0,DisplayNode,2.90024784,2.90028976,4.192e-005,3,CaptureImage3,524
3,CameraNode3,0,DisplayNode,2.90000008,2.900082,8.192e-005,3,CaptureImage3,1024
3,CameraNode3,0,DisplayNode,1.90024784,1.90028976,4.192e-005,3,CaptureImage3,524
3,CameraNode3,0,DisplayNode,1.90000008,1.900082,8.192e-005,3,CaptureImage3,1024
3,CameraNode3,0,DisplayNode,0.90024784,0.90028976,4.192e-005,3,CaptureImage3,524
3,CameraNode3,0,DisplayNode,0.90000008,0.900082,8.192e-005,3,CaptureImage3,1024
